long,lat,species,animal
-115.22069,49.433595,Ursus arctos,Amelie
-115.220718,49.433572,Ursus arctos,Amelie
-115.220677,49.433415,Ursus arctos,Amelie
-115.219997,49.433353,Ursus arctos,Amelie
-115.219965,49.433103,Ursus arctos,Amelie
-115.219858,49.433138,Ursus arctos,Amelie
-115.219677,49.433128,Ursus arctos,Amelie
-115.219385,49.43308,Ursus arctos,Amelie
-115.218863,49.432907,Ursus arctos,Amelie
-115.21873,49.432847,Ursus arctos,Amelie
-115.218433,49.432702,Ursus arctos,Amelie
-115.218493,49.432748,Ursus arctos,Amelie
-115.218383,49.432857,Ursus arctos,Amelie
-115.218367,49.43272,Ursus arctos,Amelie
-115.219712,49.427493,Ursus arctos,Amelie
-115.219912,49.429868,Ursus arctos,Amelie
-115.2252,49.430428,Ursus arctos,Amelie
-115.221328,49.427498,Ursus arctos,Amelie
-115.21805,49.425363,Ursus arctos,Amelie
-115.216153,49.423183,Ursus arctos,Amelie
-115.221213,49.420983,Ursus arctos,Amelie
-115.224617,49.42304,Ursus arctos,Amelie
-115.225968,49.421842,Ursus arctos,Amelie
-115.221347,49.422718,Ursus arctos,Amelie
-115.220008,49.422782,Ursus arctos,Amelie
-115.218075,49.421755,Ursus arctos,Amelie
-115.20632,49.423063,Ursus arctos,Amelie
-115.206578,49.42297,Ursus arctos,Amelie
-115.206347,49.422933,Ursus arctos,Amelie
-115.205912,49.423353,Ursus arctos,Amelie
-115.204282,49.423975,Ursus arctos,Amelie
-115.182102,49.425068,Ursus arctos,Amelie
-115.169873,49.429858,Ursus arctos,Amelie
-115.167718,49.430087,Ursus arctos,Amelie
-115.164412,49.430303,Ursus arctos,Amelie
-115.163845,49.424392,Ursus arctos,Amelie
-115.162305,49.421825,Ursus arctos,Amelie
-115.163388,49.433525,Ursus arctos,Amelie
-115.164577,49.438987,Ursus arctos,Amelie
-115.165037,49.438313,Ursus arctos,Amelie
-115.16436,49.43892,Ursus arctos,Amelie
-115.164797,49.438415,Ursus arctos,Amelie
-115.165125,49.438782,Ursus arctos,Amelie
-115.172268,49.436887,Ursus arctos,Amelie
